match_id,date,season,venue,city,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,innings1_team,innings1_powerplay,innings1_middle,innings1_death,innings2_team,innings2_powerplay,innings2_middle,innings2_death
1473438,2025-03-22,2025,Eden Gardens,Kolkata,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,,7.0,,Kolkata Knight Riders,60,85,29,Royal Challengers Bengaluru,80,77,20
1473440,2025-03-23,2025,MA Chidambaram Stadium,Chennai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,,4.0,,Mumbai Indians,52,58,45,Chennai Super Kings,62,57,39
1473439,2025-03-23,2025,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,44.0,,,Sunrisers Hyderabad,94,114,78,Rajasthan Royals,77,92,73
1473441,2025-03-24,2025,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,,1.0,,Lucknow Super Giants,64,106,39,Delhi Capitals,58,90,63
1473442,2025-03-25,2025,Narendra Modi Stadium,Ahmedabad,Punjab Kings,Gujarat Titans,Gujarat Titans,field,Punjab Kings,11.0,,,Punjab Kings,73,83,87,Gujarat Titans,61,113,58
1473443,2025-03-26,2025,Barsapara Cricket Stadium,Guwahati,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,8.0,,Rajasthan Royals,54,56,41,Kolkata Knight Riders,40,78,35
1473444,2025-03-27,2025,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,,5.0,,Sunrisers Hyderabad,62,81,47,Lucknow Super Giants,77,99,17
1473445,2025-03-28,2025,MA Chidambaram Stadium,Chennai,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru,50.0,,,Royal Challengers Bengaluru,56,82,58,Chennai Super Kings,30,68,48
1473446,2025-03-29,2025,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,36.0,,,Gujarat Titans,66,74,56,Mumbai Indians,48,70,42
1473448,2025-03-30,2025,Barsapara Cricket Stadium,Guwahati,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals,6.0,,,Rajasthan Royals,79,66,37,Chennai Super Kings,42,80,54
1473447,2025-03-30,2025,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,,7.0,,Sunrisers Hyderabad,58,82,23,Delhi Capitals,52,98,16
1473449,2025-03-31,2025,Wankhede Stadium,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,8.0,,Kolkata Knight Riders,41,60,15,Mumbai Indians,55,66,0
1473450,2025-04-01,2025,Ekana Cricket Stadium,Lucknow,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,Punjab Kings,,8.0,,Lucknow Super Giants,39,78,54,Punjab Kings,62,93,22
1473451,2025-04-02,2025,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,,8.0,,Royal Challengers Bengaluru,38,67,64,Gujarat Titans,42,92,36
1473452,2025-04-03,2025,Eden Gardens,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,80.0,,,Kolkata Knight Riders,53,69,78,Sunrisers Hyderabad,33,81,6
1473453,2025-04-04,2025,Ekana Cricket Stadium,Lucknow,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,12.0,,,Lucknow Super Giants,69,77,57,Mumbai Indians,64,79,48
1473455,2025-04-05,2025,Maharaja Yadavindra Singh International Cricket Stadium,Mohali,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Rajasthan Royals,50.0,,,Rajasthan Royals,53,89,63,Punjab Kings,43,88,24
1473454,2025-04-05,2025,MA Chidambaram Stadium,Chennai,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals,25.0,,,Delhi Capitals,51,87,45,Chennai Super Kings,46,60,52
1473457,2025-04-06,2025,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,,7.0,,Sunrisers Hyderabad,45,60,47,Gujarat Titans,48,82,23
1473458,2025-04-07,2025,Wankhede Stadium,Mumbai,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bengaluru,12.0,,,Royal Challengers Bengaluru,73,78,70,Mumbai Indians,54,103,52
1473456,2025-04-08,2025,Eden Gardens,Kolkata,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Lucknow Super Giants,4.0,,,Lucknow Super Giants,59,111,68,Kolkata Knight Riders,90,83,61
1473459,2025-04-08,2025,Maharaja Yadavindra Singh International Cricket Stadium,Mohali,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,18.0,,,Punjab Kings,75,89,55,Chennai Super Kings,59,86,56
1473460,2025-04-09,2025,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,Gujarat Titans,58.0,,,Gujarat Titans,56,89,72,Rajasthan Royals,57,82,20
1473461,2025-04-10,2025,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,,6.0,,Royal Challengers Bengaluru,64,53,46,Delhi Capitals,39,82,48
1473462,2025-04-11,2025,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,8.0,,Chennai Super Kings,31,43,29,Kolkata Knight Riders,71,36,0
